customer_id,recency,frequency,monetary,cluster,segment
C00051,91,3,814.22,1,Lapsed / Low-Value
C00052,9,17,5591.91,2,Champions
C00053,206,8,4995.15,3,At-Risk (Fading Regulars)
C00054,7,44,19315.079999999998,2,Champions
C00055,1,47,21264.95,2,Champions
C00056,180,3,1115.4099999999999,3,At-Risk (Fading Regulars)
C00058,4,13,3563.43,0,Active Regulars
C00059,16,6,2035.13,0,Active Regulars
C00061,5,14,4209.67,0,Active Regulars
C00063,331,4,2400.92,3,At-Risk (Fading Regulars)
C00064,33,3,1503.5700000000002,3,At-Risk (Fading Regulars)
C00065,70,13,4186.17,3,At-Risk (Fading Regulars)
C00066,42,7,1915.65,3,At-Risk (Fading Regulars)
C00067,129,8,2309.79,3,At-Risk (Fading Regulars)
C00068,22,6,1713.52,0,Active Regulars
C00069,105,4,1041.68,3,At-Risk (Fading Regulars)
C00071,59,5,899.14,3,At-Risk (Fading Regulars)
C00072,5,34,10861.97,2,Champions
C00073,212,8,2331.76,3,At-Risk (Fading Regulars)
C00074,45,4,825.9200000000001,3,At-Risk (Fading Regulars)
C00075,133,6,4576.67,3,At-Risk (Fading Regulars)
C00076,14,33,10525.39,2,Champions
C00077,1,34,10083.43,2,Champions
C00078,254,3,742.9300000000001,1,Lapsed / Low-Value
C00079,1,41,13779.51,2,Champions
C00080,5,19,5200.78,2,Champions
C00081,9,23,6424.94,2,Champions
C00083,243,2,942.03,1,Lapsed / Low-Value
C00084,15,7,2775.02,0,Active Regulars
C00085,218,4,873.27,3,At-Risk (Fading Regulars)
C00086,4,7,1152.97,0,Active Regulars
C00087,12,45,14701.94,2,Champions
C00088,14,15,5564.19,2,Champions
C00089,3,22,6970.16,2,Champions
C00090,220,3,407.89,1,Lapsed / Low-Value
C00091,303,1,592.52,1,Lapsed / Low-Value
C00092,43,4,670.8,3,At-Risk (Fading Regulars)
C00093,19,12,3843.46,0,Active Regulars
C00095,221,3,765.17,1,Lapsed / Low-Value
C00097,145,10,3898.2000000000003,3,At-Risk (Fading Regulars)
C00098,20,3,290.32,1,Lapsed / Low-Value
C00099,169,2,649.3199999999999,1,Lapsed / Low-Value
C00100,2,29,11926.82,2,Champions
C00101,65,5,953.22,3,At-Risk (Fading Regulars)
C00102,12,11,3581.16,0,Active Regulars
C00104,132,20,9075.03,3,At-Risk (Fading Regulars)
C00105,87,6,2428.34,3,At-Risk (Fading Regulars)
C00106,42,6,1278.26,3,At-Risk (Fading Regulars)
C00107,9,12,3252.92,0,Active Regulars
C00108,1,60,20623.64,2,Champions
C00109,26,6,1647.8899999999999,0,Active Regulars
C00110,77,24,5785.1,2,Champions
C00111,27,8,3788.24,0,Active Regulars
C00112,123,5,925.76,3,At-Risk (Fading Regulars)
C00113,43,13,4738.71,0,Active Regulars
C00114,2,55,20674.91,2,Champions
C00115,25,22,6766.05,2,Champions
C00116,41,13,3827.71,0,Active Regulars
C00117,78,7,3190.85,3,At-Risk (Fading Regulars)
C00118,14,17,6877.36,2,Champions
C00119,217,6,3127.8599999999997,3,At-Risk (Fading Regulars)
C00120,4,28,9787.44,2,Champions
C00123,31,7,1614.51,0,Active Regulars
C00124,7,3,529.1999999999999,0,Active Regulars
C00125,233,4,913.57,3,At-Risk (Fading Regulars)
C00126,6,26,7208.37,2,Champions
C00127,19,15,5957.14,2,Champions
C00128,38,1,217.78,1,Lapsed / Low-Value
C00129,331,1,204.67,1,Lapsed / Low-Value
C00130,126,8,1171.81,3,At-Risk (Fading Regulars)
C00131,2,67,22737.82,2,Champions
C00132,23,10,2123.7799999999997,0,Active Regulars
C00133,4,17,4398.03,2,Champions
C00134,2,23,7402.66,2,Champions
C00135,60,6,2527.36,3,At-Risk (Fading Regulars)
C00136,7,29,9259.84,2,Champions
C00138,15,29,9613.44,2,Champions
C00139,104,19,12851.51,2,Champions
C00140,22,5,2956.2000000000003,0,Active Regulars
C00141,218,2,760.58,1,Lapsed / Low-Value
C00142,52,2,885.89,1,Lapsed / Low-Value
C00144,186,4,895.98,3,At-Risk (Fading Regulars)
C00145,214,3,713.65,1,Lapsed / Low-Value
C00146,299,1,664.77,1,Lapsed / Low-Value
C00147,53,1,129.19,1,Lapsed / Low-Value
C00149,19,16,3163.52,0,Active Regulars
C00150,16,3,698.91,0,Active Regulars
C00151,50,3,2055.95,3,At-Risk (Fading Regulars)
C00152,28,1,360.89,1,Lapsed / Low-Value
C00153,38,29,15359.58,2,Champions
C00154,216,2,330.03999999999996,1,Lapsed / Low-Value
C00155,53,1,1403.53,1,Lapsed / Low-Value
C00156,307,2,623.96,1,Lapsed / Low-Value
C00157,108,9,1828.23,3,At-Risk (Fading Regulars)
C00158,4,26,5453.04,2,Champions
C00159,148,10,3699.98,3,At-Risk (Fading Regulars)
C00161,61,2,356.83000000000004,1,Lapsed / Low-Value
C00162,118,7,2501.11,3,At-Risk (Fading Regulars)
C00163,173,1,616.9,1,Lapsed / Low-Value
C00165,37,10,4127.06,0,Active Regulars
C00166,121,4,1241.62,3,At-Risk (Fading Regulars)
C00167,153,6,925.53,3,At-Risk (Fading Regulars)
C00168,12,13,4787.01,0,Active Regulars
C00169,21,5,1628.15,0,Active Regulars
C00170,68,11,2385.99,3,At-Risk (Fading Regulars)
C00171,29,5,2900.26,0,Active Regulars
C00172,163,1,327.38,1,Lapsed / Low-Value
C00174,9,19,6874.62,2,Champions
C00175,154,6,1743.8999999999999,3,At-Risk (Fading Regulars)
C00176,33,16,4439.25,0,Active Regulars
C00177,38,2,504.51,1,Lapsed / Low-Value
C00178,16,12,2596.19,0,Active Regulars
C00179,12,7,4581.22,0,Active Regulars
C00180,339,1,305.12,1,Lapsed / Low-Value
C00181,18,18,4816.4,2,Champions
C00182,13,30,11208.79,2,Champions
C00183,10,25,5139.87,2,Champions
C00184,287,2,168.42000000000002,1,Lapsed / Low-Value
C00185,18,9,2542.16,0,Active Regulars
C00186,135,4,1300.1399999999999,3,At-Risk (Fading Regulars)
C00187,10,16,6271.87,2,Champions
C00188,1,12,4551.79,2,Champions
C00189,7,5,2385.22,0,Active Regulars
C00190,333,1,169.28,1,Lapsed / Low-Value
C00191,293,4,1153.28,3,At-Risk (Fading Regulars)
C00192,2,25,11610.550000000001,2,Champions
C00193,2,11,4254.66,0,Active Regulars
C00194,320,3,1121.65,3,At-Risk (Fading Regulars)
C00195,22,3,1139.91,0,Active Regulars
C00196,281,1,310.25,1,Lapsed / Low-Value
C00197,15,19,7706.04,2,Champions
C00199,314,1,386.79,1,Lapsed / Low-Value
C00200,149,4,768.0,1,Lapsed / Low-Value
C00201,12,24,11299.22,2,Champions
C00203,73,1,102.73,1,Lapsed / Low-Value
C00204,2,61,25286.9,2,Champions
C00205,1,7,2458.96,0,Active Regulars
C00206,4,19,3856.98,2,Champions
C00207,39,3,797.22,1,Lapsed / Low-Value
C00208,250,3,590.69,1,Lapsed / Low-Value
C00209,7,39,13133.51,2,Champions
C00210,6,39,12534.130000000001,2,Champions
C00211,74,34,11704.12,2,Champions
C00212,14,5,2198.83,0,Active Regulars
C00214,20,3,351.87,1,Lapsed / Low-Value
C00215,1,10,3456.94,0,Active Regulars
C00216,15,5,1822.38,0,Active Regulars
C00217,76,6,1826.97,3,At-Risk (Fading Regulars)
C00218,158,6,1422.2,3,At-Risk (Fading Regulars)
C00219,1,14,5726.43,2,Champions
C00220,6,17,7477.8,2,Champions
C00221,87,9,3230.3399999999997,3,At-Risk (Fading Regulars)
C00222,5,18,6288.85,2,Champions
C00223,3,17,5462.04,2,Champions
C00224,3,5,1808.42,0,Active Regulars
C00225,17,5,1541.14,0,Active Regulars
C00226,4,139,51189.28,2,Champions
C00227,23,4,834.8299999999999,0,Active Regulars
C00228,7,27,10737.72,2,Champions
C00229,29,3,472.78,1,Lapsed / Low-Value
C00230,15,15,3347.04,0,Active Regulars
C00231,90,2,234.84,1,Lapsed / Low-Value
C00232,31,6,2122.4700000000003,0,Active Regulars
C00233,344,1,641.12,1,Lapsed / Low-Value
C00234,284,2,825.72,1,Lapsed / Low-Value
C00235,68,9,2845.01,3,At-Risk (Fading Regulars)
C00236,302,2,850.39,1,Lapsed / Low-Value
C00237,1,27,7118.76,2,Champions
C00238,195,2,685.29,1,Lapsed / Low-Value
C00239,73,8,1887.0,3,At-Risk (Fading Regulars)
C00240,84,1,165.66,1,Lapsed / Low-Value
C00241,11,9,4657.13,0,Active Regulars
C00242,42,2,344.82,1,Lapsed / Low-Value
C00243,24,10,3440.16,0,Active Regulars
C00244,36,6,1349.2800000000002,3,At-Risk (Fading Regulars)
C00245,159,1,204.27,1,Lapsed / Low-Value
C00247,4,24,8517.13,2,Champions
C00248,194,4,2590.59,3,At-Risk (Fading Regulars)
C00249,2,5,3456.23,0,Active Regulars
C00250,163,2,1197.62,1,Lapsed / Low-Value
C00251,29,12,3039.72,0,Active Regulars
C00252,3,16,4470.14,2,Champions
C00254,110,4,1603.88,3,At-Risk (Fading Regulars)
C00255,45,5,2826.91,3,At-Risk (Fading Regulars)
C00256,245,3,244.78,1,Lapsed / Low-Value
C00257,238,2,791.37,1,Lapsed / Low-Value
C00258,28,9,4168.14,0,Active Regulars
C00259,105,19,6818.99,3,At-Risk (Fading Regulars)
C00260,1,20,4999.46,2,Champions
C00261,10,6,2516.66,0,Active Regulars
C00262,64,3,430.94,1,Lapsed / Low-Value
C00263,11,11,4192.07,0,Active Regulars
C00265,133,2,196.19,1,Lapsed / Low-Value
C00266,12,7,1858.1799999999998,0,Active Regulars
C00267,181,3,2062.2200000000003,3,At-Risk (Fading Regulars)
C00268,127,1,120.05,1,Lapsed / Low-Value
C00269,12,9,1248.45,0,Active Regulars
C00270,9,11,4008.6,0,Active Regulars
C00272,245,4,976.0999999999999,3,At-Risk (Fading Regulars)
C00273,14,4,1181.98,0,Active Regulars
C00274,21,5,1760.07,0,Active Regulars
C00275,244,2,513.96,1,Lapsed / Low-Value
C00276,246,1,114.33,1,Lapsed / Low-Value
C00280,4,50,15785.53,2,Champions
C00281,5,26,7250.37,2,Champions
C00282,198,3,874.8399999999999,1,Lapsed / Low-Value
C00283,43,9,3478.59,3,At-Risk (Fading Regulars)
C00284,239,8,4350.13,3,At-Risk (Fading Regulars)
C00285,22,6,1615.84,0,Active Regulars
C00287,36,16,5174.15,0,Active Regulars
C00288,46,3,311.01,1,Lapsed / Low-Value
C00289,198,12,3756.93,3,At-Risk (Fading Regulars)
C00290,97,1,678.62,1,Lapsed / Low-Value
C00291,11,6,1753.3,0,Active Regulars
C00292,15,59,17351.5,2,Champions
C00293,306,3,1002.02,1,Lapsed / Low-Value
C00294,114,4,1590.8799999999999,3,At-Risk (Fading Regulars)
C00295,24,5,1115.3600000000001,0,Active Regulars
C00296,13,16,4023.66,0,Active Regulars
C00297,16,17,9514.28,2,Champions
C00298,27,13,4306.55,0,Active Regulars
C00299,351,1,184.07,1,Lapsed / Low-Value
C00300,169,3,2633.51,3,At-Risk (Fading Regulars)
C00301,28,1,128.48,1,Lapsed / Low-Value
C00302,31,1,968.22,1,Lapsed / Low-Value
C00303,5,5,1405.67,0,Active Regulars
C00304,7,25,8609.65,2,Champions
C00305,10,9,3783.54,0,Active Regulars
C00306,7,8,1933.56,0,Active Regulars
C00307,10,16,7203.65,2,Champions
C00308,124,18,5078.9,3,At-Risk (Fading Regulars)
C00309,11,12,3445.74,0,Active Regulars
C00310,70,1,289.98,1,Lapsed / Low-Value
C00311,232,1,473.11,1,Lapsed / Low-Value
C00312,22,3,1333.6,0,Active Regulars
C00313,236,2,886.62,1,Lapsed / Low-Value
C00314,14,8,2089.9700000000003,0,Active Regulars
C00315,27,15,6447.5,2,Champions
C00316,261,1,505.38,1,Lapsed / Low-Value
C00317,42,6,1415.23,3,At-Risk (Fading Regulars)
C00318,39,4,1159.44,3,At-Risk (Fading Regulars)
C00319,71,3,894.6899999999999,3,At-Risk (Fading Regulars)
C00320,56,5,1849.62,3,At-Risk (Fading Regulars)
C00321,310,4,2504.11,3,At-Risk (Fading Regulars)
C00322,4,13,5552.59,2,Champions
C00323,30,9,2522.7200000000003,0,Active Regulars
C00324,1,53,19486.37,2,Champions
C00325,140,5,1814.0800000000002,3,At-Risk (Fading Regulars)
C00326,7,57,21452.65,2,Champions
C00327,1,37,10087.46,2,Champions
C00328,91,1,185.48,1,Lapsed / Low-Value
C00331,2,21,5539.67,2,Champions
C00332,319,2,332.83,1,Lapsed / Low-Value
C00333,6,6,1867.52,0,Active Regulars
C00334,4,15,4966.18,2,Champions
C00335,82,3,1037.22,3,At-Risk (Fading Regulars)
C00336,9,14,6281.88,2,Champions
C00337,30,11,2606.43,0,Active Regulars
C00338,113,2,217.13,1,Lapsed / Low-Value
C00339,318,1,137.96,1,Lapsed / Low-Value
C00340,332,3,842.0799999999999,1,Lapsed / Low-Value
C00341,47,8,2419.92,3,At-Risk (Fading Regulars)
C00342,6,17,5380.24,2,Champions
C00343,164,1,404.89,1,Lapsed / Low-Value
C00345,5,44,20714.28,2,Champions
C00346,2,13,4855.98,2,Champions
C00347,162,1,675.05,1,Lapsed / Low-Value
C00348,4,20,6560.97,2,Champions
C00349,155,2,494.27,1,Lapsed / Low-Value
C00350,200,3,387.98,1,Lapsed / Low-Value
C00351,314,2,387.74,1,Lapsed / Low-Value
C00352,48,10,2905.58,3,At-Risk (Fading Regulars)
C00353,290,2,390.75,1,Lapsed / Low-Value
C00354,32,10,3878.13,0,Active Regulars
C00355,112,9,3718.98,3,At-Risk (Fading Regulars)
C00356,1,8,2572.34,0,Active Regulars
C00357,29,16,7734.75,2,Champions
C00359,28,3,1499.69,3,At-Risk (Fading Regulars)
C00360,159,4,975.28,3,At-Risk (Fading Regulars)
C00361,1,52,12826.630000000001,2,Champions
C00362,23,16,5704.88,2,Champions
C00363,3,15,3748.89,2,Champions
C00364,118,3,1832.7600000000002,3,At-Risk (Fading Regulars)
C00365,156,3,723.5,1,Lapsed / Low-Value
C00366,228,4,1666.48,3,At-Risk (Fading Regulars)
C00368,5,3,1586.15,0,Active Regulars
C00369,4,21,5496.08,2,Champions
C00370,13,7,1786.01,0,Active Regulars
C00371,4,22,10269.28,2,Champions
C00372,115,4,995.56,3,At-Risk (Fading Regulars)
C00373,275,1,333.16,1,Lapsed / Low-Value
C00374,242,4,2533.12,3,At-Risk (Fading Regulars)
C00375,357,1,94.16,1,Lapsed / Low-Value
C00377,17,8,1797.03,0,Active Regulars
C00379,20,8,2983.17,0,Active Regulars
C00380,2,13,3978.8,0,Active Regulars
C00381,98,23,7708.88,2,Champions
C00382,33,21,8092.46,2,Champions
C00383,46,2,320.9,1,Lapsed / Low-Value
C00385,337,4,1093.6,3,At-Risk (Fading Regulars)
C00386,1,6,3935.61,0,Active Regulars
C00387,3,17,8924.98,2,Champions
C00388,6,3,893.98,0,Active Regulars
C00389,3,8,1724.3799999999999,0,Active Regulars
C00390,4,12,3216.95,0,Active Regulars
C00391,21,2,1809.0,0,Active Regulars
C00393,19,15,7446.7,2,Champions
C00394,30,11,3304.35,0,Active Regulars
C00395,8,26,9672.09,2,Champions
C00396,7,28,14536.52,2,Champions
C00397,151,3,536.08,1,Lapsed / Low-Value
C00398,4,26,10215.44,2,Champions
C00399,2,29,9020.99,2,Champions
C00400,5,39,13105.15,2,Champions
C00401,347,2,361.45,1,Lapsed / Low-Value
C00402,4,20,4107.86,2,Champions
C00403,20,14,5023.52,0,Active Regulars
C00404,28,10,1955.85,0,Active Regulars
C00405,21,24,9764.94,2,Champions
C00406,15,12,4699.84,0,Active Regulars
C00407,27,43,17225.91,2,Champions
C00408,160,24,8881.86,3,At-Risk (Fading Regulars)
C00409,11,5,1340.17,0,Active Regulars
C00410,16,11,2786.54,0,Active Regulars
C00411,30,5,1442.1100000000001,3,At-Risk (Fading Regulars)
C00412,5,13,5585.41,2,Champions
C00413,115,2,516.75,1,Lapsed / Low-Value
C00414,78,2,1540.22,3,At-Risk (Fading Regulars)
C00415,3,16,5071.58,2,Champions
C00416,86,2,176.77,1,Lapsed / Low-Value
C00417,5,17,3171.33,0,Active Regulars
C00418,21,21,6079.71,2,Champions
C00419,4,24,10522.01,2,Champions
C00420,268,3,2052.61,3,At-Risk (Fading Regulars)
C00421,119,14,4963.17,3,At-Risk (Fading Regulars)
C00422,19,15,3376.45,0,Active Regulars
C00423,7,25,10377.11,2,Champions
C00424,9,7,1179.96,0,Active Regulars
C00425,8,6,2186.9300000000003,0,Active Regulars
C00426,111,6,1302.36,3,At-Risk (Fading Regulars)
C00427,14,26,7851.47,2,Champions
C00428,6,19,7639.66,2,Champions
C00430,26,5,2509.0299999999997,0,Active Regulars
C00431,68,14,3095.97,3,At-Risk (Fading Regulars)
C00432,139,17,6749.19,3,At-Risk (Fading Regulars)
C00433,259,2,1342.69,1,Lapsed / Low-Value
C00434,9,18,5936.08,2,Champions
C00436,20,17,8558.36,2,Champions
C00437,14,24,6634.52,2,Champions
C00438,17,16,4735.54,0,Active Regulars
C00439,11,24,8462.25,2,Champions
C00440,25,39,11582.92,2,Champions
C00441,10,35,10836.55,2,Champions
C00442,189,4,799.68,3,At-Risk (Fading Regulars)
C00443,51,12,2931.36,3,At-Risk (Fading Regulars)
C00445,3,16,3839.18,2,Champions
C00446,5,30,16914.23,2,Champions
C00447,136,3,835.1800000000001,1,Lapsed / Low-Value
C00448,13,14,5860.97,2,Champions
C00449,273,2,608.66,1,Lapsed / Low-Value
C00450,201,4,1196.95,3,At-Risk (Fading Regulars)
C00451,78,3,1617.61,3,At-Risk (Fading Regulars)
C00452,130,15,6166.41,3,At-Risk (Fading Regulars)
C00454,7,42,15340.6,2,Champions
C00455,3,44,16062.55,2,Champions
C00456,288,2,410.71000000000004,1,Lapsed / Low-Value
C00457,17,8,2609.06,0,Active Regulars
C00460,10,23,5955.68,2,Champions
C00461,120,14,6485.52,3,At-Risk (Fading Regulars)
C00462,1,14,3502.02,2,Champions
C00463,33,13,7428.4800000000005,0,Active Regulars
C00464,50,7,1706.96,3,At-Risk (Fading Regulars)
C00465,10,15,3982.95,0,Active Regulars
C00466,22,22,11912.75,2,Champions
C00467,38,23,7458.49,2,Champions
C00468,7,28,9916.97,2,Champions
C00469,239,8,1960.51,3,At-Risk (Fading Regulars)
C00470,25,12,5096.7,0,Active Regulars
C00471,6,7,1507.55,0,Active Regulars
C00472,214,7,2002.23,3,At-Risk (Fading Regulars)
C00474,124,8,3302.73,3,At-Risk (Fading Regulars)
C00475,5,36,9857.4,2,Champions
C00476,15,6,1713.9099999999999,0,Active Regulars
C00477,21,5,2335.46,0,Active Regulars
C00478,67,2,273.9,1,Lapsed / Low-Value
C00479,60,2,655.78,1,Lapsed / Low-Value
C00480,35,12,2551.58,0,Active Regulars
C00481,60,6,2215.48,3,At-Risk (Fading Regulars)
C00482,8,39,10964.7,2,Champions
C00483,78,12,7385.780000000001,3,At-Risk (Fading Regulars)
C00484,147,10,3598.79,3,At-Risk (Fading Regulars)
C00485,119,10,6513.05,3,At-Risk (Fading Regulars)
C00487,10,6,1590.35,0,Active Regulars
C00488,58,9,3030.85,3,At-Risk (Fading Regulars)
C00489,3,28,6998.05,2,Champions
C00491,10,11,3279.2999999999997,0,Active Regulars
C00492,11,21,7178.61,2,Champions
C00493,212,1,55.87,1,Lapsed / Low-Value
C00494,165,10,3925.19,3,At-Risk (Fading Regulars)
C00495,84,2,401.47,1,Lapsed / Low-Value
C00496,153,1,345.17,1,Lapsed / Low-Value
C00497,19,9,3352.38,0,Active Regulars
C00498,76,7,4126.320000000001,3,At-Risk (Fading Regulars)
C00499,12,8,4065.71,0,Active Regulars
C00500,364,1,261.79,1,Lapsed / Low-Value
C00502,19,15,3991.63,0,Active Regulars
C00503,9,4,1938.7800000000002,0,Active Regulars
C00504,20,6,2110.4,0,Active Regulars
C00505,66,14,4721.05,3,At-Risk (Fading Regulars)
C00506,22,5,1873.6200000000001,0,Active Regulars
C00507,60,1,237.76,1,Lapsed / Low-Value
C00508,54,6,1628.1599999999999,3,At-Risk (Fading Regulars)
C00509,12,8,4851.36,0,Active Regulars
C00510,262,1,223.47,1,Lapsed / Low-Value
C00511,14,11,3107.88,0,Active Regulars
C00512,265,4,963.36,3,At-Risk (Fading Regulars)
C00513,4,11,4330.67,0,Active Regulars
C00514,53,6,2483.21,3,At-Risk (Fading Regulars)
C00515,5,12,3663.65,0,Active Regulars
C00516,11,10,4273.51,0,Active Regulars
C00517,55,3,428.64,1,Lapsed / Low-Value
C00518,15,8,1654.42,0,Active Regulars
C00519,271,3,1659.19,3,At-Risk (Fading Regulars)
C00521,19,16,4743.07,0,Active Regulars
C00522,15,9,2661.2799999999997,0,Active Regulars
C00523,271,11,4140.75,3,At-Risk (Fading Regulars)
C00524,51,3,1209.19,3,At-Risk (Fading Regulars)
C00525,25,17,6867.29,2,Champions
C00526,26,5,1511.5900000000001,0,Active Regulars
C00529,6,28,8223.46,2,Champions
C00530,4,12,4354.21,0,Active Regulars
C00531,7,12,5005.9400000000005,0,Active Regulars
C00532,112,3,446.88,1,Lapsed / Low-Value
C00533,220,6,1409.6200000000001,3,At-Risk (Fading Regulars)
C00534,59,6,2192.6,3,At-Risk (Fading Regulars)
C00535,51,8,1213.44,3,At-Risk (Fading Regulars)
C00536,17,18,5463.2,2,Champions
C00537,5,58,21824.8,2,Champions
C00538,23,7,1239.6399999999999,0,Active Regulars
C00539,35,5,1436.2,3,At-Risk (Fading Regulars)
C00540,11,11,3278.76,0,Active Regulars
C00541,290,1,403.7,1,Lapsed / Low-Value
C00542,2,117,41679.11,2,Champions
C00544,173,1,534.25,1,Lapsed / Low-Value
C00545,35,4,1169.25,3,At-Risk (Fading Regulars)
C00546,242,2,227.87,1,Lapsed / Low-Value
C00547,25,15,5389.16,0,Active Regulars
C00548,329,1,1068.73,1,Lapsed / Low-Value
C00549,3,45,15467.59,2,Champions
C00550,48,1,395.42,1,Lapsed / Low-Value
C00551,4,11,4387.2,0,Active Regulars
C00552,104,4,1472.62,3,At-Risk (Fading Regulars)
C00553,21,4,1700.14,0,Active Regulars
C00554,46,9,3165.77,3,At-Risk (Fading Regulars)
C00555,20,12,3544.62,0,Active Regulars
C00556,310,1,55.46,1,Lapsed / Low-Value
C00557,45,3,1538.92,3,At-Risk (Fading Regulars)
C00558,14,16,6504.7300000000005,2,Champions
C00559,150,1,707.34,1,Lapsed / Low-Value
C00560,1,19,6134.01,2,Champions
C00561,14,28,10042.15,2,Champions
C00562,32,12,7524.66,0,Active Regulars
C00563,73,16,7564.83,3,At-Risk (Fading Regulars)
C00564,4,50,19770.88,2,Champions
C00566,19,6,2411.58,0,Active Regulars
C00567,1,27,7388.86,2,Champions
C00568,6,8,2305.67,0,Active Regulars
C00569,4,6,3810.38,0,Active Regulars
C00570,22,22,7653.89,2,Champions
C00571,33,20,9545.51,2,Champions
C00574,239,1,670.78,1,Lapsed / Low-Value
C00575,3,4,1516.35,0,Active Regulars
C00576,206,5,1006.8199999999999,3,At-Risk (Fading Regulars)
C00577,8,5,1180.16,0,Active Regulars
C00578,2,18,6176.29,2,Champions
C00579,6,10,2787.9,0,Active Regulars
C00580,20,20,7592.8,2,Champions
C00581,144,4,1078.6,3,At-Risk (Fading Regulars)
C00582,5,33,11094.96,2,Champions
C00583,258,2,477.78,1,Lapsed / Low-Value
C00584,1,13,3401.0099999999998,0,Active Regulars
C00585,9,14,3734.94,0,Active Regulars
C00586,6,7,1790.39,0,Active Regulars
C00587,9,11,3616.71,0,Active Regulars
C00588,365,1,632.79,1,Lapsed / Low-Value
C00589,20,19,6292.34,2,Champions
C00590,13,9,2084.27,0,Active Regulars
C00591,271,2,834.49,1,Lapsed / Low-Value
C00592,11,4,1033.69,0,Active Regulars
C00593,186,6,2261.5499999999997,3,At-Risk (Fading Regulars)
C00594,153,2,287.18,1,Lapsed / Low-Value
C00595,25,13,4092.08,0,Active Regulars
C00597,9,3,1921.76,0,Active Regulars
C00599,22,16,4592.36,0,Active Regulars
C00600,6,15,3459.36,0,Active Regulars
C00601,15,72,22901.46,2,Champions
C00602,73,1,75.81,1,Lapsed / Low-Value
C00603,110,5,926.37,3,At-Risk (Fading Regulars)
C00604,18,18,9808.56,2,Champions
C00605,95,28,9548.04,2,Champions
C00606,5,78,24233.73,2,Champions
C00609,23,26,12133.75,2,Champions
C00610,3,9,2703.85,0,Active Regulars
C00611,122,5,1137.77,3,At-Risk (Fading Regulars)
C00612,46,14,7240.79,0,Active Regulars
C00614,3,15,4165.14,2,Champions
C00615,311,1,1091.4,1,Lapsed / Low-Value
C00619,55,3,2411.03,3,At-Risk (Fading Regulars)
C00620,76,67,23827.73,2,Champions
C00621,196,3,552.63,1,Lapsed / Low-Value
C00623,4,43,13721.98,2,Champions
C00624,159,5,2659.8199999999997,3,At-Risk (Fading Regulars)
C00625,30,9,1893.3400000000001,0,Active Regulars
C00626,2,13,5846.77,2,Champions
C00628,16,6,2815.5,0,Active Regulars
C00629,256,3,572.38,1,Lapsed / Low-Value
C00630,47,5,984.17,3,At-Risk (Fading Regulars)
C00631,5,5,897.66,0,Active Regulars
C00632,2,17,8432.79,2,Champions
C00633,55,6,2110.81,3,At-Risk (Fading Regulars)
C00634,14,2,621.3,1,Lapsed / Low-Value
C00636,261,1,148.22,1,Lapsed / Low-Value
C00638,241,1,964.38,1,Lapsed / Low-Value
C00639,10,21,5801.65,2,Champions
C00641,9,3,917.94,0,Active Regulars
C00642,20,4,1279.67,0,Active Regulars
C00643,268,4,1102.02,3,At-Risk (Fading Regulars)
C00644,223,6,1844.03,3,At-Risk (Fading Regulars)
C00645,23,6,1186.9,0,Active Regulars
C00646,9,25,9556.710000000001,2,Champions
